District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,683000000.0,88.0,36.0,1.0,2.0,1.0,1.0
Megamendung,Kabupaten Bogor,-6.6509623,106.9057427,500000000.0,320.0,160.0,1.0,3.0,2.0,1.0
Jonggol,Kabupaten Bogor,-6.4597469,107.0422961,395000000.0,72.0,60.0,1.0,3.0,2.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,683000000.0,88.0,36.0,1.0,2.0,1.0,1.0
 Tajur Halang,Kabupaten Bogor,-6.4713484,106.7802858,100000000.0,60.0,36.0,1.0,2.0,1.0,1.0
 Bogor Utara,Kota Bogor,-6.587388199999999,106.8281623,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
 Jonggol,Kabupaten Bogor,-6.5134022,107.0007987,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
Parung,Kabupaten Bogor,-6.427080399999999,106.7244846,1367604000.0,105.0,88.0,2.0,3.0,2.0,2.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,175000000.0,42.0,40.0,1.0,2.0,1.0,0.0
Ciomas,Kabupaten Bogor,-6.6019425,106.7656825,795000000.0,60.0,55.0,2.0,3.0,2.0,1.0
 Bogor Selatan,Kota Bogor,-6.6710208,106.8266873,875000000.0,120.0,53.0,1.0,2.0,1.0,1.0
Bogor Timur,Kota Bogor,-6.617944400000001,106.820343,400000000.0,54.0,54.0,1.0,2.0,1.0,0.0
Tajur Halang,Kabupaten Bogor,-6.4758182,106.7578498,326000000.0,66.0,36.0,1.0,2.0,1.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4758182,106.7578498,300000000.0,66.0,36.0,1.0,2.0,1.0,1.0
 Bogor Utara,Kota Bogor,-6.587388199999999,106.8281623,300000000.0,66.0,36.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,560000000.0,75.0,150.0,2.0,4.0,2.0,2.0
 Kemang,Kabupaten Bogor,-6.5408947,106.7603239,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
 Ciomas,Kabupaten Bogor,-6.596503999999999,106.7500025,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,569000000.0,67.0,36.0,1.0,2.0,1.0,1.0
 Sukaraja,Kabupaten Bogor,-6.5932534,106.8443875,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
 Cibinong,Kabupaten Bogor,-6.4544294,106.8502879,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0
