District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Parung Panjang,Bogor,-6.3681068,106.5533873,834000000.0,72.0,64.0,2.0,3.0,2.0,1.0
Dramaga,Bogor,-6.577668999999999,106.7319218,499000000.0,110.0,38.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.403049299999999,106.9299579,500000000.0,70.0,36.0,1.0,2.0,1.0,1.0
Babakan Madang,Bogor,-6.5211331,106.8502879,650000000.0,105.0,55.0,1.0,2.0,1.0,0.0
Bogor Barat,Bogor,-6.5691114,106.7754728,650000000.0,91.0,70.0,1.0,2.0,2.0,1.0
Rumpin,Bogor,-6.4576306,106.6464973,515000000.0,50.0,55.0,2.0,3.0,2.0,1.0
Bogor Barat,Bogor,-6.5626206,106.7951616,395000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Bogor Timur,Bogor,-6.617944400000001,106.820343,350000000.0,60.0,50.0,1.0,2.0,2.0,1.0
Tajur Halang,Bogor,-6.4974742,106.791291,400000000.0,90.0,40.0,1.0,2.0,1.0,1.0
Tajur Halang,Bogor,-6.4758182,106.7578498,300000000.0,60.0,29.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.3809703,106.9613015,1650000000.0,136.0,100.0,2.0,3.0,2.0,2.0
Gunung Putri,Bogor,-6.3809703,106.9613015,4250000000.0,300.0,400.0,2.0,6.0,5.0,2.0
Ciomas,Bogor,-6.6019425,106.7656825,258000000.0,60.0,30.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.403049299999999,106.9299579,500000000.0,70.0,36.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.4288646,106.9240554,600000000.0,84.0,40.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.403049299999999,106.9299579,900000000.0,125.0,48.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.5119249,106.8254317,757000000.0,66.0,66.0,2.0,3.0,2.0,1.0
Bogor Barat,Bogor,-6.563991,106.7633625,366804000.0,62.0,36.0,1.0,2.0,1.0,1.0
Bojong Gede,Bogor,-6.4960615,106.7947017,407424600.0,63.0,39.0,1.0,2.0,1.0,1.0
Jonggol,Bogor,-6.439727599999999,107.0495018,385000000.0,120.0,36.0,1.0,2.0,1.0,1.0
Bogor Utara,Bogor,-6.5689517,106.8090297,960000000.0,120.0,80.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,1.0
Jonggol,Bogor,-6.4597469,107.0422961,299000000.0,78.0,70.0,1.0,2.0,1.0,1.0
Bojong Gede,Bogor,-6.529414699999999,106.7957153,390000000.0,69.0,36.0,1.0,2.0,1.0,1.0
Bogor Barat,Bogor,-6.563991,106.7633625,900000000.0,98.0,70.0,2.0,2.0,2.0,1.0
Cibinong,Bogor,-6.5198749,106.8119382,895000000.0,64.0,91.0,2.0,4.0,2.0,2.0
Cibinong,Bogor,-6.5198749,106.8119382,895000000.0,64.0,91.0,2.0,4.0,2.0,2.0
Cibinong,Bogor,-6.5198749,106.8119382,895000000.0,64.0,91.0,2.0,4.0,2.0,2.0
Bogor Utara,Bogor,-6.5798818,106.8222625,1750000000.0,139.0,196.0,2.0,4.0,3.0,1.0
Bojong Gede,Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojong Gede,Bogor,-6.4960615,106.7947017,970000000.0,151.0,120.0,1.0,3.0,2.0,2.0
Gunung Sindur,Bogor,-6.3847562,106.6804186,1500000000.0,98.0,126.0,2.0,2.0,3.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,749000000.0,96.0,64.0,1.0,3.0,1.0,1.0
Ciampea,Bogor,-6.5549421,106.6961626,1000000.0,60.0,30.0,1.0,2.0,1.0,1.0
Ciampea,Bogor,-6.5549421,106.6961626,185000000.0,60.0,30.0,1.0,2.0,1.0,1.0
Gunung Sindur,Bogor,-6.3847562,106.6804186,350000000.0,60.0,60.0,1.0,2.0,1.0,1.0
Ciampea,Bogor,-6.5549421,106.6961626,1000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Ciawi,Bogor,-6.663033899999999,106.8562067,9000000000.0,2616.0,900.0,2.0,6.0,5.0,3.0
Cibinong,Bogor,-6.4901067,106.8306951,895000000.0,64.0,91.0,2.0,4.0,2.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,550000000.0,132.0,45.0,1.0,2.0,1.0,2.0
Cibinong,Bogor,-6.4901067,106.8306951,1100000000.0,144.0,150.0,1.0,3.0,2.0,2.0
