District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Cilodong,Depok,-6.425319699999999,106.8502064,599000000.0,96.0,65.0,2.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,400000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.436817899999999,106.8170478,800000000.0,70.0,72.0,2.0,3.0,2.0,2.0
Sawangan,Depok,-6.407547,106.7555867,680000000.0,62.0,49.0,2.0,2.0,2.0,1.0
Sawangan,Depok,-6.412430199999999,106.7801233,635000000.0,84.0,75.0,2.0,3.0,3.0,2.0
Sawangan,Depok,-6.407547,106.7555867,815000000.0,48.0,86.0,2.0,3.0,2.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,860000000.0,92.0,60.0,1.0,3.0,2.0,2.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,62.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,1375000000.0,78.0,90.0,2.0,3.0,2.0,1.0
Cipayung,Depok,-6.4197444,106.796065,250000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Beji,Depok,-6.3685044,106.8081252,1850000000.0,90.0,140.0,2.0,5.0,5.0,1.0
Cinere,Depok,-6.3333023,106.7828744,985000000.0,60.0,55.0,2.0,2.0,2.0,1.0
Tapos,Depok,-6.4022805,106.8850657,5225000000.0,162.0,202.0,3.0,4.0,4.0,2.0
Pancoran Mas,Depok,-6.3946317,106.7950631,1080000000.0,62.0,68.0,2.0,3.0,2.0,2.0
Cipayung,Depok,-6.4197444,106.796065,650000000.0,127.0,110.0,1.0,3.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,850000000.0,160.0,120.0,1.0,5.0,2.0,1.0
Cimanggis,Depok,-6.364012799999999,106.8496195,578000000.0,38.0,42.0,2.0,2.0,2.0,1.0
Limo,Depok,-6.4424873,106.8205329,800000000.0,80.0,58.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sawangan,Depok,-6.4260468,106.7794935,230000000.0,55.0,40.0,1.0,2.0,1.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cipayung,Depok,-6.4197444,106.796065,750000000.0,60.0,50.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,1100000000.0,80.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,935000000.0,66.0,75.0,2.0,3.0,3.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,935000000.0,66.0,75.0,2.0,3.0,3.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,935000000.0,66.0,75.0,2.0,3.0,3.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,935000000.0,66.0,75.0,2.0,3.0,3.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,935000000.0,66.0,75.0,2.0,3.0,3.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,3250000000.0,236.0,183.0,2.0,4.0,3.0,1.0
Beji,Depok,-6.3685044,106.8081252,800000000.0,50.0,80.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cimanggis,Depok,-6.354936899999999,106.8428572,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cimanggis,Depok,-6.354936899999999,106.8428572,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,700000000.0,67.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,920000000.0,72.0,70.0,2.0,4.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,1500000000.0,111.0,150.0,2.0,3.0,4.0,2.0
Bojongsari,Depok,-6.4046258,106.7417263,572600000.0,84.0,54.0,1.0,2.0,1.0,1.0
Tapos,Depok,-6.4022805,106.8850657,500000000.0,107.0,65.0,1.0,2.0,1.0,1.0
Sukma Jaya,Depok,-6.3997311,106.8417514,1800000000.0,120.0,100.0,2.0,3.0,2.0,1.0
Tapos,Depok,-6.4022805,106.8850657,4400000000.0,240.0,305.0,2.0,4.0,4.0,2.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Bojongsari,Depok,-6.4046258,106.7417263,500000000.0,90.0,90.0,1.0,3.0,2.0,1.0
Beji,Depok,-6.3219635,106.7898163,935000000.0,80.0,72.0,2.0,3.0,2.0,1.0
Sawangan,Depok,-6.407547,106.7555867,1600000002.0,103.0,97.0,1.0,3.0,3.0,2.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,488250000.0,72.0,41.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,110.0,63.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,900000000.0,71.0,94.0,2.0,4.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,782500000.0,55.0,55.0,2.0,2.0,2.0,1.0
Cinere,Depok,-6.3333023,106.7828744,900000000.0,66.0,70.0,2.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,782500000.0,55.0,55.0,2.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,110.0,63.0,1.0,2.0,1.0,1.0
Beji,Depok,-6.3685044,106.8081252,700000000.0,70.0,50.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,715000000.0,70.0,43.0,1.0,2.0,1.0,1.0
Cimanggis,Depok,-6.354936899999999,106.8428572,700000000.0,70.0,50.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,700000000.0,70.0,50.0,1.0,2.0,2.0,1.0
Sawangan,Depok,-6.407547,106.7555867,845000000.0,63.0,70.0,2.0,3.0,2.0,1.0
Sawangan,Depok,-6.4260468,106.7794935,845000000.0,63.0,70.0,2.0,3.0,2.0,1.0
Cimanggis,Depok,-6.354936899999999,106.8428572,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Cimanggis,Depok,-6.354936899999999,106.8428572,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,70.0,50.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Sawangan,Depok,-6.407547,106.7555867,845000000.0,63.0,70.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.429939000000001,106.8263877,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,700000000.0,74.0,50.0,1.0,2.0,2.0,1.0
Cimanggis,Depok,-6.4198933,106.8284624,700000000.0,74.0,45.0,1.0,2.0,2.0,1.0
Cinere,Depok,-6.434914,106.8207875,800000000.0,80.0,58.0,1.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,700000000.0,74.0,50.0,1.0,2.0,2.0,1.0
Sukma Jaya,Depok,-6.4189393,106.8384873,700000000.0,74.0,50.0,1.0,2.0,2.0,1.0
Cilodong,Depok,-6.436980699999999,106.8355372,700000000.0,74.0,50.0,1.0,2.0,2.0,1.0
Beji,Depok,-6.3685044,106.8081252,1850000000.0,90.0,140.0,2.0,5.0,5.0,1.0
Tapos,Depok,-6.4022805,106.8850657,1850000000.0,90.0,140.0,2.0,5.0,5.0,1.0
Sawangan,Depok,-6.3651357,106.7617984,365000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Depok,Jawa Barat,-6.4024844,106.7942405,1850000000.0,72.0,80.0,2.0,3.0,3.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.407547,106.7555867,385000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,287000000.0,52.0,21.0,1.0,2.0,1.0,1.0
Cipayung,Depok,-6.4197444,106.796065,380000045.0,55.0,32.0,2.0,2.0,2.0,1.0
Cipayung,Depok,-6.4197444,106.796065,423000000.0,67.0,36.0,2.0,2.0,2.0,1.0
Depok,Jawa Barat,-6.4024844,106.7942405,695000000.0,79.0,45.0,1.0,2.0,2.0,0.0
Cinere,Depok,-6.3333023,106.7828744,900000000.0,83.0,60.0,2.0,2.0,2.0,2.0
Sukma Jaya,Depok,-6.4189393,106.8384873,1100000000.0,120.0,68.0,2.0,3.0,2.0,2.0
Sawangan,Depok,-6.407547,106.7555867,480000000.0,60.0,40.0,1.0,2.0,1.0,1.0
Sawangan,Depok,-6.4109883,106.7654314,560000000.0,70.0,40.0,1.0,2.0,1.0,1.0
Beji,Depok,-6.3685044,106.8081252,2400000000.0,84.0,200.0,3.0,10.0,10.0,1.0
Sawangan,Depok,-6.407547,106.7555867,550000000.0,72.0,96.0,2.0,3.0,1.0,2.0
Cimanggis,Depok,-6.354936899999999,106.8428572,920000000.0,40.0,80.0,2.0,3.0,2.0,1.0
Sawangan,Depok,-6.407547,106.7555867,975000000.0,93.0,63.0,2.0,3.0,2.0,1.0
Bojongsari,Depok,-6.4046258,106.7417263,875000000.0,97.0,52.0,2.0,3.0,1.0,1.0
