District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Jatinegara,Jakarta Timur,-6.2231612,106.8871831,5900000000.0,266.0,200.0,1.0,3.0,4.0,2.0
Ciracas,Jakarta Timur,-6.3092491,106.9033981,750000000.0,85.0,74.0,2.0,3.0,3.0,1.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,1200000000.0,52.0,52.0,2.0,3.0,2.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,3000000000.0,100.0,102.0,2.0,4.0,2.0,2.0
Cempaka Putih,Jakarta Pusat,-6.1868333,106.8665002,9500000000.0,360.0,350.0,2.0,4.0,3.0,0.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,2650000000.0,119.0,298.0,2.0,4.0,3.0,0.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,1900000000.0,75.0,150.0,2.0,3.0,2.0,0.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,2700000000.0,90.0,135.0,1.0,3.0,2.0,0.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,4000000000.0,180.0,300.0,2.0,3.0,3.0,0.0
Palmerah,Jakarta Barat,-6.1942907,106.793333,5900000000.0,122.0,400.0,3.0,10.0,10.0,0.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,25000000000.0,525.0,1345.0,2.0,2.0,3.0,0.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,4500000000.0,112.0,238.0,3.0,5.0,5.0,0.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,5800000000.0,400.0,300.0,2.0,6.0,5.0,2.0
Cengkareng,Jakarta Barat,-6.103434,106.7405895,15700000000.0,537.0,950.0,3.0,6.0,6.0,1.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,5000000000.0,486.0,250.0,1.0,4.0,2.0,2.0
Mampang Prapatan,Jakarta Selatan,-6.2481661,106.8262565,17500000000.0,650.0,500.0,2.0,3.0,2.0,10.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,12000000000.0,204.0,250.0,2.0,4.0,3.0,1.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,13700000000.0,449.0,200.0,2.0,5.0,2.0,4.0
