District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Panongan,Tangerang,-6.260340299999999,106.5235921,3100000000.0,200.0,360.0,2.0,6.0,3.0,4.0
Karang Tengah,Tangerang,-6.2039169,106.7155548,4500000000.0,105.0,156.0,3.0,3.0,3.0,2.0
Cisauk,Tangerang,-6.3408595,106.6369178,380000000.0,60.0,35.0,1.0,2.0,1.0,1.0
Cisauk,Tangerang,-6.3408595,106.6369178,380000000.0,60.0,35.0,1.0,2.0,1.0,1.0
Karawaci,Tangerang,-6.1855302,106.6131874,400000000.0,35.0,35.0,1.0,2.0,1.0,1.0
Karawaci,Tangerang,-6.1855302,106.6131874,700000000.0,60.0,40.0,2.0,2.0,2.0,1.0
L'Agricola,Tangerang,-6.1701796,106.6403236,2500000000.0,136.0,132.0,2.0,3.0,1.0,2.0
Tangerang,Tangerang,-6.1701796,106.6403236,750000000.0,60.0,64.0,2.0,4.0,2.0,1.0
Tangerang,Tangerang,-6.1701796,106.6403236,377000000.0,70.0,36.0,1.0,2.0,1.0,1.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Tangerang,Tangerang,-6.1701796,106.6403236,700000000.0,60.0,55.0,2.0,3.0,2.0,1.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,60.0,35.0,1.0,2.0,1.0,2.0
Periuk,Tangerang,-6.169601399999999,106.6008985,755000000.0,73.0,50.0,2.0,3.0,2.0,1.0
Benda,Tangerang,-6.1381805,106.6721132,1349000000.0,121.0,132.0,2.0,3.0,2.0,0.0
Cikupa,Tangerang,-6.2181325,106.4970097,2000000000.0,180.0,360.0,2.0,3.0,3.0,0.0
Karawaci,Tangerang,-6.1855302,106.6131874,5800000000.0,313.0,350.0,2.0,5.0,4.0,2.0
Curug,Tangerang,-6.2540795,106.5609134,900000000.0,72.0,72.0,1.0,2.0,1.0,1.0
Kelapa Dua,Tangerang,-6.2450323,106.6127606,990000000.0,48.0,57.0,2.0,2.0,2.0,1.0
Pagedangan,Tangerang,-6.266416899999999,106.6223087,1100000000.0,40.0,60.0,2.0,2.0,2.0,1.0
Benda,Tangerang,-6.1444364,106.6826077,4500000000.0,240.0,265.0,2.0,6.0,4.0,1.0
Cipondoh,Tangerang,-6.1866281,106.6825964,2400000000.0,90.0,125.0,2.0,3.0,2.0,1.0
Pinang,Tangerang,-6.222638799999999,106.6920099,1000000000.0,120.0,60.0,1.0,2.0,2.0,1.0
Tangerang,Tangerang,-6.2409034,106.6288212,600000000.0,62.0,45.0,2.0,3.0,2.0,1.0
Tangerang,Banten,-6.1701796,106.6403236,600000000.0,72.0,50.0,1.0,2.0,1.0,1.0
Cipondoh,Tangerang,-6.1934271,106.6559444,2500000000.0,128.0,130.0,2.0,4.0,3.0,1.0
Cisauk,Tangerang,-6.360460199999999,106.6300093,2421465230.0,111.0,104.0,2.0,4.0,3.0,1.0
Ciledug,Tangerang,-6.241727099999999,106.7023326,955000000.0,51.0,58.0,2.0,2.0,2.0,0.0
Larangan,Tangerang,-6.232183699999999,106.7302964,1500000000.0,120.0,100.0,1.0,4.0,2.0,1.0
Pagedangan,Tangerang,-6.295901199999999,106.6213069,2100000000.0,77.0,70.0,1.0,3.0,2.0,1.0
Kelapa Dua,Tangerang,-6.2542275,106.6293851,3500000000.0,180.0,168.0,2.0,5.0,4.0,0.0
Pagedangan,Tangerang,-6.2590504,106.6097688,11200000000.0,511.0,425.0,2.0,4.0,4.0,1.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,1550000000.0,153.0,100.0,1.0,3.0,3.0,2.0
Kelapa Dua,Tangerang,-6.1059173,106.5617969,11400000000.0,437.0,550.0,2.0,5.0,4.0,2.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,5200000000.0,240.0,380.0,2.0,6.0,5.0,0.0
Pagedangan,Tangerang,-6.293577099999999,106.6423214,2350000000.0,112.0,154.0,2.0,4.0,3.0,0.0
Curug,Tangerang,-6.2540795,106.5609134,880000000.0,90.0,75.0,1.0,3.0,2.0,0.0
Curug,Tangerang,-6.2368549,106.5819194,1900000000.0,150.0,180.0,2.0,5.0,4.0,0.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,1500000000.0,72.0,65.0,2.0,4.0,2.0,1.0
Curug,Tangerang,-6.246004,106.5817415,350000000.0,60.0,21.0,1.0,2.0,1.0,0.0
Kelapa Dua,Tangerang,-6.2542275,106.6293851,2600000000.0,136.0,150.0,2.0,4.0,4.0,2.0
Legok,Tangerang,-6.297536699999999,106.5885923,1700000000.0,150.0,300.0,2.0,4.0,4.0,0.0
