Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
2.0,2.0,1.0,96.0,45.0,-6.027368068695068,106.67900085449219,1100000000.0,Pantai Indah Kapuk,Jakarta Utara,1.0
1.0,3.0,2.0,130.0,190.0,-6.1866383,106.7425049,5000000000.0,Puri Indah,Jakarta Barat,1.0
2.0,2.0,2.0,31.0,16.0,-6.20989,106.89872,401000000.0,Cipinang,Jakarta Timur,0.0
3.0,4.0,3.0,480.0,200.0,-6.1026441,106.7411622,8800000000.0,Pantai Indah Kapuk,Jakarta Utara,2.0
1.0,3.0,2.0,300.0,300.0,-6.243936,106.799783,15000000000.0,Kebayoran Baru,Jakarta Selatan,3.0
2.0,4.0,3.0,300.0,200.0,-6.1585001945495605,106.74700164794922,9300000000.0,Permata Buana,Jakarta Barat,0.0
3.0,5.0,5.0,300.0,136.0,-6.1761691,106.7425373,7000000000.0,Permata Buana,Jakarta Barat,4.0
2.0,3.0,3.0,250.0,488.0,-6.2456989371893,106.80892815857,29000000000.0,Kebayoran Baru,Jakarta Selatan,4.0
2.0,4.0,2.0,205.0,126.0,-6.13717,106.86524,3600000000.0,Sunter,Jakarta Utara,1.0
1.0,7.0,8.0,548.0,733.0,-6.196380138397217,106.837890625,56000000000.0,Menteng,Jakarta Pusat,4.0
1.0,3.0,2.0,170.0,105.0,-6.161308699999999,106.9049822,3200000000.0,Kelapa Gading,Jakarta Utara,1.0
1.0,5.0,3.0,500.0,1322.0,-6.2504769048819,106.78661217957,26500000000.0,Kebayoran Lama,Jakarta Selatan,0.0
1.0,4.0,4.0,500.0,942.0,-6.270367,106.811741,20000000000.0,Cipete,Jakarta Selatan,2.0
3.0,5.0,6.0,800.0,350.0,-6.31254,106.80421,16000000000.0,Lebak Bulus,Jakarta Selatan,4.0
2.0,4.0,4.0,280.0,210.0,-6.3031123,106.7794935,5000000000.0,Lebak Bulus,Jakarta Selatan,1.0
2.0,4.0,4.0,209.0,150.0,-6.1237101554870605,106.87699890136719,5500000000.0,Pantai Indah Kapuk 2,Jakarta Utara,2.0
2.0,4.0,2.0,216.0,343.0,-6.1585001945495605,106.74700164794922,5100000000.0,Taman Ratu,Jakarta Barat,1.0
3.0,3.0,3.0,400.0,230.0,-6.1236701011657715,106.75318145751953,10900000000.0,Pantai Indah Kapuk,Jakarta Utara,2.0
2.0,2.0,1.0,95.0,105.0,-6.1585,106.747,1750000000.0,Metland Puri,Jakarta Barat,1.0
2.0,3.0,3.0,200.0,160.0,-6.1236701011657715,106.75318145751953,6300000000.0,Pantai Indah Kapuk,Jakarta Utara,1.0
4.0,4.0,5.0,400.0,117.0,-6.11555,106.78378,5900000000.0,Pluit,Jakarta Utara,2.0
2.0,4.0,2.0,130.0,90.0,-6.1713515,106.7839175,2200000000.0,Tanjung Duren,Jakarta Barat,0.0
1.0,5.0,6.0,523.0,517.0,-6.270367,106.811741,29500000000.0,Cipete,Jakarta Selatan,2.0
2.0,5.0,4.0,900.0,1400.0,-6.2775326,106.7794935,55000000000.0,Pondok Indah,Jakarta Selatan,12.0
2.0,3.0,2.0,69.0,235.0,-6.187507500000001,106.9593843,2650000000.0,Cakung,Jakarta Timur,2.0
2.0,4.0,3.0,181.0,200.0,-6.187507500000001,106.9593843,3500000000.0,Cakung,Jakarta Timur,2.0
2.0,2.0,2.0,81.0,55.0,-6.161308699999999,106.9049822,2400000000.0,Kelapa Gading,Jakarta Utara,0.0
3.0,4.0,4.0,600.0,300.0,-6.12367,106.75318,12800000000.0,Pantai Indah Kapuk,Jakarta Utara,2.0
2.0,3.0,3.0,150.0,100.0,-6.1585001945495605,106.74700164794922,2150000000.0,Kav DKI,Jakarta Barat,0.0
2.0,6.0,6.0,496.0,846.0,-6.266904,106.823931,12900000000.0,Kemang,Jakarta Selatan,6.0
