district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,04/06/2024,750000000.0,144.0,120.0,,2.0,2.0,1.0,1.0,SHM,1300.0,,
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,04/06/2024,750000000.0,144.0,120.0,,2.0,2.0,1.0,1.0,SHM,1300.0,,
Gunung Putri,Kabupaten Bogor,-6.4288646,106.9240554,04/06/2024,950000000.0,179.0,30.0,,1.0,1.0,,2.0,HGB,,Unfurnished,
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,28/05/2024,683000000.0,88.0,36.0,1.0,2.0,1.0,1.0,,SHM,1300.0,Unfurnished,2024.0
Megamendung,Kabupaten Bogor,-6.6509623,106.9057427,28/05/2024,500000000.0,320.0,160.0,1.0,3.0,2.0,1.0,,SHM,,,
Megamendung,Kabupaten Bogor,-6.6509623,106.9057427,28/05/2024,400000000.0,220.0,50.0,,2.0,2.0,,,AJB,,,
Jonggol,Kabupaten Bogor,-6.4597469,107.0422961,28/05/2024,395000000.0,72.0,60.0,1.0,3.0,2.0,1.0,,HGB,1300.0,Unfurnished,2024.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,28/05/2024,683000000.0,88.0,36.0,1.0,2.0,1.0,1.0,,SHM,1300.0,Unfurnished,2024.0
 Tajur Halang,Kabupaten Bogor,-6.4713484,106.7802858,28/05/2024,100000000.0,60.0,36.0,1.0,2.0,1.0,1.0,1.0,AJB,1300.0,,
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,28/05/2024,185000000.0,60.0,28.0,,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,
 Bogor Utara,Kota Bogor,-6.587388199999999,106.8281623,28/05/2024,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,2024.0
 Jonggol,Kabupaten Bogor,-6.5134022,107.0007987,21/05/2024,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0,,HGB,1298.0,Unfurnished,2024.0
Parung,Kabupaten Bogor,-6.427080399999999,106.7244846,21/05/2024,1367604000.0,105.0,88.0,2.0,3.0,2.0,2.0,,,,,
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,21/05/2024,175000000.0,42.0,40.0,1.0,2.0,1.0,,,AJB,900.0,Semi Furnished,2024.0
Ciomas,Kabupaten Bogor,-6.6019425,106.7656825,14/05/2024,795000000.0,60.0,55.0,2.0,3.0,2.0,1.0,,SHM,,Unfurnished,2024.0
 Bogor Selatan,Kota Bogor,-6.6710208,106.8266873,14/05/2024,875000000.0,120.0,53.0,1.0,2.0,1.0,1.0,,SHM,2200.0,Semi Furnished,
Bogor Timur,Kota Bogor,-6.617944400000001,106.820343,14/05/2024,400000000.0,54.0,54.0,1.0,2.0,1.0,,,SHM,1300.0,Semi Furnished,2018.0
Tajur Halang,Kabupaten Bogor,-6.4758182,106.7578498,14/05/2024,326000000.0,66.0,36.0,1.0,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,2024.0
Tajur Halang,Kabupaten Bogor,-6.4758182,106.7578498,14/05/2024,300000000.0,66.0,36.0,1.0,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,2024.0
 Bogor Utara,Kota Bogor,-6.587388199999999,106.8281623,14/05/2024,300000000.0,66.0,36.0,1.0,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,2024.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,14/05/2024,560000000.0,75.0,150.0,2.0,4.0,2.0,2.0,,SHM,2200.0,Unfurnished,
 Kemang,Kabupaten Bogor,-6.5408947,106.7603239,14/05/2024,497000000.0,90.0,36.0,1.0,2.0,1.0,1.0,,HGB,1300.0,Unfurnished,2024.0
